epoch,train_loss,val_loss,val_f1_macro,val_accuracy
1,0.37986652950626104,0.4777839766896289,0.13122111702264375,0.13850415512465375
2,0.21662874664509577,0.42333010875660443,0.3579562816700847,0.2770083102493075
3,0.15605080166929647,0.48629160743692645,0.3608850120656263,0.296398891966759
4,0.11629582639317114,0.4237499068612638,0.4283479062363057,0.3379501385041551
5,0.08371455178760033,0.47738344773002295,0.41224792987048225,0.3157894736842105
6,0.061094462673793364,0.5205532299435657,0.41458486023302044,0.3407202216066482
7,0.044235601716974035,0.5771825702294059,0.4150741807217227,0.3185595567867036
8,0.032074322170170595,0.6010796829410221,0.4152216677664189,0.32409972299168976
9,0.02404248287238708,0.6076855957508087,0.42311830334720213,0.33240997229916897
10,0.019491503838519015,0.6325213002121967,0.4174631320929743,0.3185595567867036
