epoch,train_loss,val_loss,val_f1_macro,val_accuracy
1,1.971431565818502,1.8260197700080225,0.2378145590219894,0.3617021276595745
2,1.5728162324695445,1.46422461837025,0.3419842740749976,0.4702127659574468
3,1.160525607640174,1.3959819932105177,0.40793396110959057,0.5319148936170213
4,0.8103787828681629,1.470858913356975,0.44954149593806286,0.5276595744680851
5,0.4838984265589892,1.6312464276107692,0.44893382144321264,0.5404255319148936
6,0.28777173207377765,1.7541850482003163,0.4716664330395303,0.5553191489361702
7,0.16640410239029843,2.0118325036966196,0.4776991775869662,0.5468085106382978
8,0.1146563127699461,2.113831667576806,0.47891989354144526,0.5617021276595745
9,0.08385211085412415,2.275872378026025,0.4673371421537016,0.5468085106382978
10,0.05427516815938931,2.2701080300040166,0.46950786804897127,0.5446808510638298
