epoch,train_loss,val_loss,val_f1_macro,val_accuracy
1,0.38480227544714446,0.4201942027910896,0.11767925561029008,0.10803324099722991
2,0.21159694082156066,0.37943221434302954,0.4044950696660377,0.30193905817174516
3,0.15151968284657127,0.4036296878172004,0.42584332550280884,0.34349030470914127
4,0.11176722877728204,0.4118960739477821,0.43244034280925575,0.3407202216066482
5,0.07936066416972833,0.4594529996747556,0.4567006414514326,0.3462603878116344
6,0.055907120393207145,0.4993101637000623,0.4499111069857519,0.3518005540166205
7,0.039533406583940486,0.5246802808150001,0.4457422263571939,0.3490304709141274
8,0.02807233247233254,0.5852110359979712,0.44438255160840723,0.3490304709141274
9,0.021950989284471503,0.5969227254390717,0.438596709951213,0.3462603878116344
10,0.01674810795645025,0.6049725257832071,0.4521620661664891,0.33518005540166207
