epoch,train_loss,val_loss,val_f1_macro,val_accuracy
1,0.3866520264944883,0.44975866701291956,0.15782493368700265,0.15789473684210525
2,0.2517412001987118,0.44913180755532306,0.1800315222426917,0.1745152354570637
3,0.19608047846603308,0.46248757709627564,0.3136267210170583,0.25761772853185594
4,0.16036724382352266,0.4403911932655003,0.38169022395666996,0.32409972299168976
5,0.13432326522096316,0.4488748655371044,0.4038962030758527,0.32409972299168976
6,0.10477361423783207,0.4743978141442589,0.4098330630602822,0.3407202216066482
7,0.08288666097356003,0.4947523163712543,0.409192360779078,0.3545706371191136
8,0.06534430538870381,0.5168689547673516,0.4186488464758072,0.3490304709141274
9,0.05170240568524453,0.5463812701080156,0.4141239011366651,0.3545706371191136
10,0.04234298109372709,0.5539373710103657,0.4251707701778793,0.3628808864265928
