epoch,train_loss,val_loss,val_f1_macro,val_accuracy
1,1.9691624588041163,1.8286921230413147,0.19421097485699787,0.3404255319148936
2,1.5722574124585336,1.4654756036855408,0.34744930981343414,0.474468085106383
3,1.1810465171488362,1.3456938903210527,0.4062024504877282,0.5234042553191489
4,0.8209205333755087,1.4387181295176683,0.4217230870341748,0.5340425531914894
5,0.5374657098593106,1.6701927275980932,0.42697900252321797,0.5276595744680851
6,0.3388852596199557,1.845945475528301,0.4541747370347594,0.5595744680851064
7,0.21424301497902332,2.018267790518575,0.48373326192560784,0.574468085106383
8,0.14146344074909922,2.2367877257609012,0.43944187662122364,0.5361702127659574
9,0.10199182242095998,2.2725975841157515,0.4592775746280918,0.5574468085106383
10,0.08029621473857577,2.356514880465249,0.46738278105031705,0.5553191489361702
